State Name,District Name,Subdistrict Name,Facility Type,Facility Name,Facility Address,Latitude,Longitude,ActiveFlag_C,NOTIONAL_PHYSICAL,Location Type,Type Of Facility,Nin_N
Karnataka,Belgaum,Belgaum,sub_cen,BEKKINAKERI,NA,15.9237,74.4192,Y,Physical,Rural,Public,1428334740
Karnataka,Bagalkote,Badami,sub_cen,NILAGUND,NA,15.9237,75.5474,Y,Physical,Rural,Public,5482728457
Karnataka,Belgaum,Ramadurga,sub_cen,CHUNCHANUR,NA,15.9247,75.1243,Y,Physical,Rural,Public,4733876611
Karnataka,Raichur,Lingsagur,sub_cen,MEDIKINAL,NA,15.9256,76.5648,Y,Physical,Rural,Public,8831871572
Karnataka,Belgaum,Bailahongala,sub_cen,MEKALMARADI,NA,15.9272,74.8166,Y,Physical,Rural,Public,7667164862
Karnataka,Bagalkote,Hunagund,sub_cen,BALAKUNDI,NA,15.9276,76.0843,Y,Physical,Rural,Public,4765366382
Karnataka,Raichur,Lingsagur,sub_cen,ANTARAGANGI,NA,15.9281,76.5969,Y,Physical,Rural,Public,2782473249
Karnataka,Bagalkote,Hunagund,sub_cen,HEREKODAGALI,NA,15.9285,76.1389,Y,Physical,Rural,Public,8736846513
Karnataka,Raichur,Lingsagur,sub_cen,NAGARAPUR,NA,15.9285,76.4405,Y,Physical,Rural,Public,4682858552
Karnataka,Raichur,Sindhanoor,sub_cen,RAMATHANAL,NA,15.9302,76.8285,Y,Physical,Rural,Public,6268373468
Karnataka,Belgaum,Soundatti,sub_cen,ALADAKATTI,NA,15.9312,75.0156,Y,Physical,Rural,Public,1778464626
Karnataka,Belgaum,Belgaum,sub_cen,KAKATI-B,NA,15.9318,74.5256,Y,Physical,Rural,Public,3478626421
Karnataka,Belgaum,Belgaum,sub_cen,AGASAGA,NA,15.9321,74.4639,Y,Physical,Rural,Public,1338577685
Karnataka,Bagalkote,Badami,sub_cen,KARADIGUDDA,NA,15.9327,75.584,Y,Physical,Rural,Public,3851637847
Karnataka,Belgaum,Belgaum,sub_cen,KADOLI-A,NA,15.9336,74.4855,Y,Physical,Rural,Public,8686173819
Karnataka,Belgaum,Belgaum,sub_cen,KAKATI-A,NA,15.9357,74.5265,Y,Physical,Rural,Public,8771148759
Karnataka,Bagalkote,Hunagund,sub_cen,GUDUR-B,NA,15.9358,75.9052,Y,Physical,Rural,Public,3435386341
Karnataka,Bagalkote,Hunagund,sub_cen,GUDUR-A,NA,15.9358,75.9053,Y,Physical,Rural,Public,5476383186
Karnataka,Bagalkote,Badami,sub_cen,KAKNUR,NA,15.9365,75.4338,Y,Physical,Rural,Public,1671217139
Karnataka,Belgaum,Ramadurga,sub_cen,KOLACHE,NA,15.9368,75.342,Y,Physical,Rural,Public,8115486873
